photo_in_drone_agent_in_room red_red,"fly over the red box and take a photo of it , then move to the red room"
photo_in_drone_agent_in_room red_red,capture a photo of the red box and fly to the red room
agent_in_room red,move until you get to the red room
photo_in_drone_agent_in_room blue_red,"hover over the blue box , take a picture , proceed to the red common room"
photo_in_drone_agent_in_room blue_blue,take a photo of the blue box then head to the blue room
photo_in_drone_agent_in_room green_red,"take a picture of the green box , then return to the red room"
photo_in_drone_agent_in_room blue_blue,take a picture of the blue box then fly into the blue room
agent_in_room red,go to the red room
photo_in_drone_agent_in_room red_green,take a picture of the red box then go to the green room
agent_in_room red,fly to the red room
photo_in_drone_agent_in_room red_blue,"move to red box , take photo of red box , then move to blue room"
photo_in_drone_agent_in_room green_green,take a snapshot of the green box then proceed to the green room
photo_in_drone blue,take a photo of the blue box
photo_in_drone_agent_in_room red_blue,"take a photo of the red box , then head to blue room"
photo_in_drone_agent_in_room blue_green,take a photo of the blue box and then fly back to the green room
photo_in_drone red,take a photo of the red box
photo_in_drone blue,take a snapshot of the blue box and fly to the blue room
agent_in_room green,proceed to the green room
photo_in_drone_agent_in_room red_blue,"take picture of red box , then fly to blue room"
photo_in_drone_agent_in_room green_red,"increase altitude , take a picture of the green box , then go to the red room"
photo_in_drone blue,take a picture of the blue box
agent_in_room red,move to the red room
photo_in_drone_agent_in_room green_blue,take a picture of the green block then fly to the blue room
photo_in_drone red,take a picture of the red box
agent_in_room blue,fly to the blue room
photo_in_drone green,take a photograph of the green box
photo_in_drone_agent_in_room green_blue,photograph the green box then fly to the blue room
photo_in_drone_agent_in_room blue_green,take a photo of the blue box then fly to the green room
photo_in_drone_agent_in_room green_blue,"fly to the green cube , take a photo and fly to the blue room"
photo_in_drone_agent_in_room red_blue,take a picture of the red box and proceed to the blue room
photo_in_drone_agent_in_room blue_red,"take a photo of the blue box , then proceed toward the red room"
photo_in_drone_agent_in_room red_blue,take a snapshot of the red box and move to the blue room quickly
agent_in_room blue,fly above the green box into the blue room
photo_in_drone_agent_in_room blue_green,"take a picture of the blue box , then go to the green room"
photo_in_drone red,take a picture of the red box
photo_in_drone red,take a snapshot of the red box
photo_in_drone_agent_in_room red_red,exit current room to take photo of cube r and enter red room
photo_in_drone_agent_in_room blue_red,photograph the blue box and head into the red room
agent_in_room green,go to green room and stop at first tile
photo_in_drone_agent_in_room blue_red,take a photo of the blue block and go to the red room
photo_in_drone_agent_in_room green_green,take a picture of the green box and go into the green room
agent_in_room blue,go to the blue room
photo_in_drone_agent_in_room green_blue,"hover over the green box to take a picture of it , then proceed to the blue room"
photo_in_drone_agent_in_room green_green,capture picture over the green cube and fly to the green room
photo_in_drone_agent_in_room green_blue,"take a photo of the green box , then move to the blue room"
