up 1,go up a level
take_photo 0,take a photo
up 3,fly up for 3 cells
back 6,move backwards for 6 spaces
forward 5,move forward 5 squares
take_photo 0,take a photo at your current position
down 1,go 1 grid down
left 1,move one space to the left
left 1,fly to the left 1 cell
forward 4,move forward for 4 steps
forward 5,fly 5 spaces foward
back 1,move 1 unit to the south
right 6,move 6 spaces to the right
right 4,move right 4 spaces
right 4,move 4 spaces right
back 1,fly 1 space backward
right 6,fly to the right exactly six blocks
back 5,travel 5 spaces backward
back 2,move backward 2 blocks
right 2,move 2 cells right
up 2,move vertically exactly 2 blocks
back 5,move backwards 5 cells
left 6,go 6 cells to the left
back 2,go back 2 cells
back 2,move 2 spaces to the south
down 2,descend 2 cubes down
back 1,go 1 block south
right 6,fly east 6 spaces
right 5,move 5 blocks to the right
forward 2,fly two blocks north
up 2,fly upwards vertically 2 units
right 5,move right 5 spaces
forward 6,move forward 6 cells
up 1,move up vertically 1 space
right 4,fly to the right 4 spaces
forward 3,fly forward 3 spaces
back 1,fly backwards 1 block
back 1,move backwards for 1 space
back 2,move back 2 spaces
left 2,fly 2 spaces to the left
down 2,go down 2 steps towards the floor
right 5,fly right 5 spaces
back 3,move 3 spaces behind
right 6,go 6 cells to the right
forward 5,go north 5 spaces
right 6,move 6 steps to the right
left 4,move left 4 cells
left 6,move left for 6 steps
left 3,move left 3 blocks
left 4,go left 4 cells
forward 4,move forward 4 grid units
right 1,move right 1 cell
forward 5,move north 5 spaces
back 2,fly two blocks south
down 1,go down 1 cell
back 3,move backwards for three spaces
down 1,move down 1 space
take_photo 0,take a picture
back 1,go south one block
forward 3,fly north 3 cells
take_photo 0,take a picture
left 1,move left 1 cell
forward 1,fly 1 space forwards
forward 1,move forward 1 block
left 3,go 3 spaces left
back 3,go 3 spaces south
forward 4,move 4 spaces forward
forward 5,fly forward 5 spaces
forward 4,move 4 spaces to the north
left 3,move left for three steps
right 1,move right one step
down 1,move down 1 space
back 1,move backwards 1 cell
right 4,move to the right for 4 spaces
back 5,fly 5 spaces backward
back 2,fly 2 cells backward
up 1,ascend a level
left 2,fly 2 blocks west
right 3,fly east 3 squares
left 6,move 6 spaces west
right 3,move right 3 spaces
left 3,go west three spaces
up 1,ascend vertically up 1 square
up 2,fly upward 2 levels
right 2,move to the right for 2 steps
left 3,move 3 red blocks to the left
right 1,fly to the right 1 space
left 4,fly left 4 cells
left 1,move 1 block west
take_photo 0,take photo right now
up 3,fly up vertically 3 spaces
back 3,fly backwards 3 spaces
right 1,go 1 square to the right
up 1,fly up 1 space
up 1,move 1 space up
forward 1,move forward 1 step
up 2,move upwards for two grid blocks
forward 1,fly forward 1 space
forward 3,fly forward 3 spaces
up 1,fly up one space
left 6,move left 6 cells
right 6,fly east 6 spaces
up 1,go 1 block up
up 2,go up 2 blocks
up 3,move 4 spaces up
back 1,fly backwards 1 space
right 3,go right 3 cells
right 4,go east 4 spaces
right 6,move to the right 6 steps
take_photo 0,take a photo with flash on
forward 4,move forwards for 4 spaces
right 5,move east 5 squares
up 3,move 3 levels up
left 1,go west one space
forward 4,fly to the north 4 spaces
left 4,move left 4 spaces
right 2,fly 2 spaces to the right
down 2,move 2 grid units down
down 1,move down 1 block
left 1,fly left 1 space
right 6,go east 6 spaces
forward 3,move 3 spaces north
down 2,fly down 2 blocks
back 2,move backwards for 2 spaces
left 3,fly 3 cells left
left 3,move 3 spaces to the left
left 1,fly 1 space to the left
up 3,fly 3 spaces upwards
left 4,move 4 blocks left
forward 1,go north 1 space
back 3,move to 3 steps backwards to the closest white space
forward 1,move one grid space north
forward 4,move forward 4 cells
left 6,move 6 spaces to the left
back 6,fly to the south 6 spaces
left 6,fly 6 cells to the left
forward 5,fly 5 spaces to the north
left 3,fly west 3 spots
right 1,fly to the right 1 space
forward 2,move 2 spaces forward
left 2,move 2 spaces to the left
back 1,fly 1 cell backward
left 4,fly left 4 spaces
left 1,go 1 block west
take_photo 0,take a photo
left 1,move left 1 space
take_photo 0,take a photo without moving
forward 3,move forward 3 spaces
back 2,move backwards 2 grids
right 2,fly 2 spaces to the right
up 3,fly up 3 spaces
left 6,move left 6 blue blocks
back 2,move back 2 spaces
left 3,move west 3 squares
right 5,move right 5 spaces
forward 4,go forward 4 spaces
back 1,fly 1 space backward
right 4,travel right 4 cells
up 2,ascend for 2 steps
left 1,fly 1 space to the left
forward 6,move north 6 spots
forward 5,go forward 5 cells
forward 3,fly forward 3 grid spaces
left 4,fly 4 spaces to the left
back 3,fly backwards 3 spaces
right 6,travel 6 cells to the right
back 5,move south 5 spaces
down 1,move 1 square down
up 3,rise 3 blocks
back 2,fly backwards 2 spaces
down 2,fly down 2 units
forward 6,move 6 spaces to the north
forward 5,move forward for 5 spaces
back 3,go 3 blocks south
down 1,fly down one block
back 1,move south 1 space
forward 6,move forward for 6 steps
back 2,fly 2 spaces backwards
take_photo 0,take a snapshot
up 1,fly up 1 space
back 1,move back 1 step
