down 2,fly down 2 spaces
forward 1,move one space forward
down 2,fly down 2 squares
left 3,move left 3 spaces
forward 4,move forward 4 times
forward 2,fly 2 spaces forward
right 4,move 4 cells to the right
left 6,move left 6 cells
down 3,descend 3 cells vertically
right 1,fly 1 space to the right
take_photo 0,take a photo
back 5,fly 5 spaces back
right 3,move to the right 3 cells
right 1,fly right for 1 space
left 5,fly left for 5 units
down 1,move down 1 block
back 1,go south one block
forward 5,move north 5 spaces
back 2,move back exactly 2 grid spaces
down 1,drop down 1 block
left 4,fly 4 spaces to the left
back 5,fly south 5 cells
left 6,fly leftward 6 spaces
left 5,fly 5 spaces to the left
take_photo 0,take photo
back 3,move back 3 spaces
down 3,descend 3 spaces
back 1,move one space back away from the wall
up 2,fly upward 2 levels
right 2,move right 2 spaces
left 5,fly five units to the left
left 2,fly to the left 2 spots
right 3,move right for 3 spaces
up 1,fly up 1 space
back 3,move backwards 3 cells
left 4,move 4 spaces to the left
right 2,go 2 blocks east
right 1,move east 1 spot
forward 5,fly 5 spaces forward
left 2,move to the left 2 spaces
back 4,go 4 spaces back
left 5,move 5 cells to the left
left 3,move west 3 spaces
forward 1,fly north 1 square
right 1,move east 1 cell
right 2,go east two spaces
back 3,fly to the south 3 spaces
up 2,fly 2 levels vertically up
forward 2,move forward for 2 steps
down 2,fly downwards for 2 grid units
up 3,fly upwards for 3 grid units
right 2,move right 2
down 1,go down 1 block
up 3,fly up 3 cells
right 4,move right 4 spaces
down 3,descend vertically down 3 squares
up 2,fly upwards 2 cells
forward 4,go forward 4 units
right 1,fly one block east
up 3,fly 3 units upward vertically
right 5,move 5 cells right
up 3,fly up three squares
back 2,move two spaces backward
forward 6,go north 6 spaces
right 1,fly east 1 cell
back 6,move six spaces backwards
left 5,go 5 blocks west
down 2,lower 2 levels
left 3,fly 3 units to the left
up 2,go up 2 cells
left 3,fly 3 cells to the left
right 5,fly east 5 blocks
right 5,fly 5 spaces to the right
back 3,go 3 blocks south
left 4,move left 4 blocks
right 3,fly 3 spaces to the right
forward 6,fly forward 6 spaces
down 2,move down 2 blocks
back 4,fly back 4 times
left 3,move left 3 grid units
back 3,fly back 3 cells
forward 3,go north 3 spaces
down 3,fly down 3 blocks
back 1,move back a space
take_photo 0,take photo
forward 2,fly forward 2 spaces
forward 4,move 4 spaces to the north
down 3,fly down 3 grid units
up 3,fly 3 grid units up
left 5,fly west 5 spots
left 2,move left 2 cells
up 1,ascend 1 level
right 2,fly 2 spaces to the right
forward 1,move forward 1 cell
up 2,move 2 cells up
back 5,fly backward 5 cells
left 5,move west 5 spaces
right 3,move left 3 spaces
take_photo 0,take a photo
back 6,fly back 6 spaces
back 3,move down 3 spaces
left 4,fly left 4 spaces
left 5,fly to the left 5 spaces
left 3,fly 3 units to the left
left 2,move left 2 cells
forward 4,move 4 spaces forward
down 3,fly 3 spaces towards the ground
left 2,go 2 blocks west
right 3,move 3 spaces to the right
forward 6,fly forward 6 spaces
down 1,fly down for 1 grid unit
left 6,fly west 6 spaces
up 2,fly up 2 spaces
right 1,go east one space
left 5,move west 5 squares
back 6,go south 6 spaces
right 2,fly 2 blocks right
forward 6,go 6 blocks north
forward 5,move forward for 5 spaces
right 3,move 3 spaces right
left 5,move over 5 spaces
back 6,move 6 squares south
back 2,move back 2 spaces
right 2,move 2 spaces to the right
forward 6,fly north 6 cells
right 6,fly 6 spaces right
up 2,fly vertically for 2 cells
back 2,move backwards 2 cells
right 6,fly to the right exactly six blocks
left 5,fly five spaces to the left
left 4,move left 4 spaces
right 5,move 5 spaces to the right
left 4,go 4 blocks north
up 2,go up two blocks
right 5,move right 5 blocks
forward 4,fly forward 4 cells
forward 1,go north one block
down 2,fly down 2 blocks
right 4,fly right for 4 spaces
left 3,move to the left for 3 steps
